"filename", "language", "Java", "Markdown", "comment", "blank", "total"
"c:\Computer Science Stuff\Compiler\Monkey_java\README.md", "Markdown", 0, 22, 0, 8, 30
"c:\Computer Science Stuff\Compiler\Monkey_java\src\CodeTest.java", "Java", 17, 0, 0, 9, 26
"c:\Computer Science Stuff\Compiler\Monkey_java\src\CompilerTest.java", "Java", 147, 0, 0, 15, 162
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\Bytecode.java", "Java", 26, 0, 0, 11, 37
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\Compiler.java", "Java", 51, 0, 1, 15, 67
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\CompilerError.java", "Java", 6, 0, 0, 3, 9
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\ArrayObj.java", "Java", 35, 0, 0, 14, 49
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\BooleanObj.java", "Java", 25, 0, 0, 11, 36
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Builtin.java", "Java", 20, 0, 0, 10, 30
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\BuiltinFunction.java", "Java", 5, 0, 0, 3, 8
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Builtins.java", "Java", 90, 0, 3, 20, 113
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Environment.java", "Java", 35, 0, 0, 14, 49
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\ErrorObj.java", "Java", 18, 0, 0, 8, 26
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\EvalObject.java", "Java", 5, 0, 0, 4, 9
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\FunctionObj.java", "Java", 44, 0, 0, 14, 58
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\HashKey.java", "Java", 28, 0, 0, 6, 34
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\HashObj.java", "Java", 57, 0, 0, 15, 72
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Hashable.java", "Java", 4, 0, 0, 3, 7
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\IntegerObj.java", "Java", 26, 0, 0, 12, 38
