"filename", "language", "Markdown", "Java", "comment", "blank", "total"
"c:\Computer Science Stuff\Compiler\Monkey_java\README.md", "Markdown", -6, 0, 0, 0, -6
"c:\Computer Science Stuff\Compiler\Monkey_java\src\CodeTest.java", "Java", 0, 53, 1, 3, 57
"c:\Computer Science Stuff\Compiler\Monkey_java\src\CompilerTest.java", "Java", 0, 18, 0, 1, 19
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\Compiler.java", "Java", 0, 10, 0, 1, 11
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Main.java", "Java", 0, 1, 0, 0, 1
"c:\Computer Science Stuff\Compiler\Monkey_java\src\REPL.java", "Java", 0, 21, 0, 3, 24
"c:\Computer Science Stuff\Compiler\Monkey_java\src\VMTest.java", "Java", 0, 10, 0, 3, 13
"c:\Computer Science Stuff\Compiler\Monkey_java\src\code\Code.java", "Java", 0, 4, 0, 1, 5
"c:\Computer Science Stuff\Compiler\Monkey_java\src\code\Instructions.java", "Java", 0, 1, 0, 0, 1
"c:\Computer Science Stuff\Compiler\Monkey_java\src\vm\VM.java", "Java", 0, 48, -3, 10, 55
"Total", "-", -6, 166, -2, 22, 180
