"filename", "language", "Markdown", "Java", "comment", "blank", "total"
"c:\Computer Science Stuff\Compiler\Monkey_java\README.md", "Markdown", 16, 0, 0, 8, 24
"c:\Computer Science Stuff\Compiler\Monkey_java\src\CodeTest.java", "Java", 0, 70, 1, 12, 83
"c:\Computer Science Stuff\Compiler\Monkey_java\src\CompilerTest.java", "Java", 0, 165, 0, 16, 181
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\Bytecode.java", "Java", 0, 26, 0, 11, 37
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\Compiler.java", "Java", 0, 61, 1, 16, 78
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\CompilerError.java", "Java", 0, 6, 0, 3, 9
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\ArrayObj.java", "Java", 0, 35, 0, 14, 49
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\BooleanObj.java", "Java", 0, 25, 0, 11, 36
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Builtin.java", "Java", 0, 20, 0, 10, 30
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\BuiltinFunction.java", "Java", 0, 5, 0, 3, 8
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Builtins.java", "Java", 0, 90, 3, 20, 113
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Environment.java", "Java", 0, 35, 0, 14, 49
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\ErrorObj.java", "Java", 0, 18, 0, 8, 26
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\EvalObject.java", "Java", 0, 5, 0, 4, 9
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\FunctionObj.java", "Java", 0, 44, 0, 14, 58
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\HashKey.java", "Java", 0, 28, 0, 6, 34
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\HashObj.java", "Java", 0, 57, 0, 15, 72
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Hashable.java", "Java", 0, 4, 0, 3, 7
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\IntegerObj.java", "Java", 0, 26, 0, 12, 38
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\NullObj.java", "Java", 0, 13, 0, 6, 19
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Pair.java", "Java", 0, 11, 0, 5, 16
