"filename", "language", "Java", "comment", "blank", "total"
"c:\Computer Science Stuff\Compiler\Monkey_java\src\CodeTest.java", "Java", -4, -1, 0, -5
"c:\Computer Science Stuff\Compiler\Monkey_java\src\CompilerTest.java", "Java", 181, 10, 18, 209
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\Compiler.java", "Java", 12, 0, -1, 11
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\CompiledFunction.java", "Java", 6, 0, 1, 7
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Main.java", "Java", 0, 0, 1, 1
"c:\Computer Science Stuff\Compiler\Monkey_java\src\SymbolTableTest.java", "Java", 19, 4, 5, 28
"c:\Computer Science Stuff\Compiler\Monkey_java\src\VMTest.java", "Java", 98, 1, 4, 103
"c:\Computer Science Stuff\Compiler\Monkey_java\src\ast\LetStatement.java", "Java", 5, 0, 1, 6
"c:\Computer Science Stuff\Compiler\Monkey_java\src\code\Code.java", "Java", 11, 0, 0, 11
"c:\Computer Science Stuff\Compiler\Monkey_java\src\code\Instructions.java", "Java", 6, 0, 2, 8
"c:\Computer Science Stuff\Compiler\Monkey_java\src\code\SymbolTable.java", "Java", 20, 0, 4, 24
"c:\Computer Science Stuff\Compiler\Monkey_java\src\vm\Frame.java", "Java", 2, 0, 0, 2
"c:\Computer Science Stuff\Compiler\Monkey_java\src\vm\VM.java", "Java", 37, 0, 3, 40
"Total", "-", 393, 14, 38, 445
